trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
815,False,"{'a': 0.5, 'e': 0.00027713003524740195}",30,15,26.84346733579099,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
816,False,"{'a': 0.5, 'e': 0.00027435873489492794}",25,20,9.475771718409684,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
817,False,"{'a': 0.5, 'e': 0.00027161514754597864}",20,9,18.986764561207657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
818,False,"{'a': 0.5, 'e': 0.00026889899607051887}",20,8,22.443067043584005,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
819,False,"{'a': 0.5, 'e': 0.0002662100061098137}",25,19,13.835194826978224,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
820,False,"{'a': 0.5, 'e': 0.00026354790604871554}",20,6,23.10869315833105,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,False,"{'a': 0.5, 'e': 0.0002609124269882284}",30,20,19.446689177095653,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
822,False,"{'a': 0.5, 'e': 0.0002583033027183461}",25,17,18.63758063669114,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
823,False,"{'a': 0.5, 'e': 0.00025572026969116266}",25,10,27.234925189729193,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
824,False,"{'a': 0.5, 'e': 0.000253163066994251}",30,16,27.817790104414655,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
825,False,"{'a': 0.5, 'e': 0.0002506314363243085}",25,0,-3.622570931385921,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
826,False,"{'a': 0.5, 'e': 0.0002481251219610654}",25,3,30.231523055593414,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
827,False,"{'a': 0.5, 'e': 0.0002456438707414548}",20,10,15.359396621041132,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
